elem,xc_m,yc_m,sigma_x_bottom_MPa,sigma_x_top_MPa,sigma_y_bottom_MPa,sigma_y_top_MPa,rho_x_bottom,rho_x_top,rho_y_bottom,rho_y_top,spacing_x_bottom_mm,spacing_x_top_mm,spacing_y_bottom_mm,spacing_y_top_mm,wk_est_x_bottom_mm,wk_est_x_top_mm,wk_est_y_bottom_mm,wk_est_y_top_mm,wk_est_x_mm,wk_est_y_mm,wk_limit_mm,wk_x_ok,wk_y_ok
42,2.5,4.5,147.5781561091227,310.55900621117905,147.5781561091227,310.5590062111797,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.006475410092864549,327.24923474893683,317.15376334239096,327.24923474893683,101.0744431799131,0.047741366280518435,0.21141653008995778,0.047741366280518435,0.2114165300899586,0.21141653008995778,0.2114165300899586,0.3,True,True
43,3.5,4.5,310.559006211181,310.5590062111805,310.559006211181,310.5590062111796,0.0034906585039886596,0.006827135691291409,0.0034906585039886596,0.011442016468060546,315.61694426305394,95.86721270718876,315.61694426305394,57.201322103044745,0.2114165300899604,0.21141653008995967,0.2114165300899604,0.2114165300899585,0.2114165300899604,0.2114165300899604,0.3,True,True
44,4.5,4.5,305.17399398204986,310.55900621118093,305.17399398204986,310.55900621118076,0.0034906585039886596,0.01788293517727266,0.0034906585039886596,0.017882935177272838,327.24923474893683,36.5990517222068,327.24923474893683,36.59905172220645,0.2041482809073086,0.17659267657307356,0.2041482809073086,0.17659267657307195,0.2041482809073086,0.2041482809073086,0.3,True,True
45,5.5,4.5,305.17399398206913,310.5590062111799,305.17399398206913,310.5590062111804,0.0034906585039886596,0.017882935177272907,0.0034906585039886596,0.01788293517727306,327.24923474893683,36.59905172220629,327.24923474893683,36.59905172220599,0.2041482809073344,0.17659267657307093,0.2041482809073344,0.17659267657306998,0.2041482809073344,0.2041482809073344,0.3,True,True
46,6.5,4.5,310.5590062111791,310.559006211181,310.5590062111791,310.5590062111797,0.0034906585039886587,0.006827135691291833,0.0034906585039886587,0.01144201646806099,315.61694426301995,95.86721270718277,315.61694426301995,57.20132210304253,0.21141653008995778,0.2114165300899604,0.21141653008995778,0.2114165300899586,0.2114165300899604,0.2114165300899586,0.3,True,True
47,7.5,4.5,147.57815610914764,310.55900621117667,147.57815610914764,310.55900621117996,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.006475410092864826,327.24923474893683,317.15376334234537,327.24923474893683,101.07444317990877,0.04774136628053458,0.21141653008995445,0.04774136628053458,0.21141653008995898,0.21141653008995445,0.21141653008995898,0.3,True,True
48,8.5,4.5,112.72558780679884,102.33523428666837,102.33523428666837,310.55900621118076,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0040123017498827586,327.24923474893683,327.24923474893683,327.24923474893683,163.12294296334974,0.02785452143033761,0.02295625606141166,0.02295625606141166,0.21141653008996006,0.02785452143033761,0.21141653008996006,0.3,True,True
49,9.5,4.5,78.61634326014143,73.39439596095629,73.39439596095629,310.55900621117894,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,327.24923474893683,327.24923474893683,256.11561382497354,0.013548036642985456,0.0118080038245399,0.0118080038245399,0.21141653008995762,0.013548036642985456,0.21141653008995762,0.3,True,True
50,0.5,5.5,78.61634326009326,73.39439596093236,73.39439596093236,310.55900621117934,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886587,327.24923474893683,327.24923474893683,327.24923474893683,256.11561382498246,0.013548036642968851,0.011808003824532202,0.011808003824532202,0.21141653008995812,0.013548036642968851,0.21141653008995812,0.3,True,True
51,1.5,5.5,112.72558780675814,102.33523428664392,102.33523428664392,310.5590062111791,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.004012301749882636,327.24923474893683,327.24923474893683,327.24923474893683,163.12294296335472,0.0278545214303175,0.022956256061400688,0.022956256061400688,0.21141653008995778,0.0278545214303175,0.21141653008995778,0.3,True,True
